consumo,fecha,findesemana,festivos,COVID,tmed,t-1
1702091,1546387200,0,0,0,6.617391304347826,995989.0
1826076,1546473600,0,0,0,5.604347826086957,1702091.0
1806926,1546560000,0,0,0,5.004347826086956,1826076.0
1341548,1546646400,1,0,0,6.173913043478261,1806926.0
1201714,1546732800,1,0,0,9.130434782608695,1341548.0
1921881,1546819200,0,0,0,6.92608695652174,1201714.0
2048335,1546905600,0,0,0,4.945454545454545,1921881.0
2074642,1546992000,0,0,0,6.791304347826086,2048335.0
2104779,1547078400,0,0,0,4.926086956521739,2074642.0
2105565,1547164800,0,0,0,2.260869565217391,2104779.0
1524829,1547251200,1,0,0,4.134782608695652,2105565.0
1309722,1547337600,1,0,0,5.9,1524829.0
1990879,1547424000,0,0,0,8.430434782608696,1309722.0
2001561,1547510400,0,0,0,7.28695652173913,1990879.0
2082018,1547596800,0,0,0,6.726086956521739,2001561.0
2085319,1547683200,0,0,0,7.743478260869565,2082018.0
2076651,1547769600,0,0,0,4.566666666666666,2085319.0
1531857,1547856000,1,0,0,5.1875,2076651.0
1330111,1547942400,1,0,0,5.079166666666667,1531857.0
2062403,1548028800,0,0,0,5.029166666666667,1330111.0
2161827,1548115200,0,0,0,3.025,2062403.0
2109277,1548201600,0,0,0,4.3625,2161827.0
2111501,1548288000,0,0,0,5.216666666666667,2109277.0
2059243,1548374400,0,0,0,7.4375,2111501.0
1429824,1548460800,1,0,0,8.4,2059243.0
1258248,1548547200,1,0,0,7.675,1429824.0
1983174,1548633600,0,0,0,6.204166666666667,1258248.0
2077924,1548720000,0,0,0,3.875,1983174.0
2086124,1548806400,0,0,0,6.525,2077924.0
2009211,1548892800,0,0,0,8.533333333333333,2086124.0
1932146,1548979200,0,0,0,9.25,2009211.0
1470254,1549065600,1,0,0,6.3375,1932146.0
1358251,1549152000,1,0,0,5.454166666666667,1470254.0
2105011,1549238400,0,0,0,5.025,1358251.0
2108257,1549324800,0,0,0,8.829166666666667,2105011.0
2091470,1549411200,0,0,0,9.766666666666667,2108257.0
2061069,1549497600,0,0,0,8.875,2091470.0
2035308,1549584000,0,0,0,9.183333333333334,2061069.0
1523376,1549670400,1,0,0,9.975,2035308.0
1391507,1549756800,1,0,0,10.366666666666667,1523376.0
2050558,1549843200,0,0,0,9.008333333333333,1391507.0
2124128,1549929600,0,0,0,8.108333333333333,2050558.0
2112143,1550016000,0,0,0,7.825,2124128.0
2075308,1550102400,0,0,0,8.104166666666666,2112143.0
2024484,1550188800,0,0,0,8.429166666666667,2075308.0
1518710,1550275200,1,0,0,9.465217391304348,2024484.0
1354228,1550361600,1,0,0,8.208695652173912,1518710.0
2052098,1550448000,0,0,0,8.386956521739132,1354228.0
2101645,1550534400,0,0,0,8.626086956521739,2052098.0
2072231,1550620800,0,0,0,8.543478260869565,2101645.0
2043975,1550707200,0,0,0,8.991304347826087,2072231.0
1975354,1550793600,0,0,0,11.795652173913044,2043975.0
1480429,1550880000,1,0,0,12.413636363636364,1975354.0
1293773,1550966400,1,0,0,10.209090909090907,1480429.0
1931481,1551052800,0,0,0,10.395652173913044,1293773.0
1965529,1551139200,0,0,0,12.421739130434782,1931481.0
1967680,1551225600,0,0,0,13.513636363636364,1965529.0
1993447,1551312000,0,0,0,12.945,1967680.0
1834431,1551398400,0,0,0,10.578260869565218,1993447.0
1345708,1551484800,1,0,0,11.360869565217392,1834431.0
1186549,1551571200,1,0,0,12.243478260869566,1345708.0
1875930,1551657600,0,0,0,13.469565217391304,1186549.0
2079242,1551744000,0,0,0,11.42608695652174,1875930.0
2009699,1551830400,0,0,0,9.87391304347826,2079242.0
1947885,1551916800,0,0,0,10.172727272727274,2009699.0
1885019,1552003200,0,0,0,9.642857142857142,1947885.0
1392095,1552089600,1,0,0,10.872727272727271,1885019.0
1211073,1552176000,1,0,0,13.617391304347825,1392095.0
1875307,1552262400,0,0,0,12.38695652173913,1211073.0
1970981,1552348800,0,0,0,11.456521739130435,1875307.0
1917646,1552435200,0,0,0,10.208695652173914,1970981.0
1943165,1552521600,0,0,0,9.326086956521738,1917646.0
1880508,1552608000,0,0,0,12.11304347826087,1943165.0
1424896,1552694400,1,0,0,13.247826086956522,1880508.0
1235045,1552780800,1,0,0,13.20909090909091,1424896.0
1906693,1552867200,0,0,0,10.08695652173913,1235045.0
1950630,1552953600,0,0,0,9.154545454545454,1906693.0
1909376,1553040000,0,0,0,8.743478260869566,1950630.0
1999239,1553126400,0,0,0,9.343478260869563,1909376.0
1923922,1553212800,0,0,0,12.347826086956522,1999239.0
1476619,1553299200,1,0,0,13.913636363636364,1923922.0
1289998,1553385600,1,0,0,14.77391304347826,1476619.0
1823538,1553472000,0,0,0,13.713043478260868,1289998.0
1994701,1553558400,0,0,0,12.117391304347825,1823538.0
2032858,1553644800,0,0,0,10.230434782608697,1994701.0
2027351,1553731200,0,0,0,10.456521739130435,2032858.0
1993465,1553817600,0,0,0,10.113043478260868,2027351.0
1513736,1553904000,1,0,0,9.347826086956522,1993465.0
1331963,1553990400,1,0,0,10.386956521739132,1513736.0
2090346,1554076800,0,0,0,13.082608695652173,1331963.0
2177580,1554163200,0,0,0,12.48695652173913,2090346.0
2134533,1554249600,0,0,0,10.008695652173914,2177580.0
2132844,1554336000,0,0,0,7.643478260869566,2134533.0
2104893,1554422400,0,0,0,8.231818181818182,2132844.0
1527475,1554508800,1,0,0,9.513636363636364,2104893.0
1346879,1554595200,1,0,0,9.439130434782609,1527475.0
2035085,1554681600,0,0,0,11.234782608695651,1346879.0
2015133,1554768000,0,0,0,10.565217391304348,2035085.0
2059902,1554854400,0,0,0,10.804347826086955,2015133.0
2022541,1554940800,0,0,0,11.982608695652177,2059902.0
1950138,1555027200,0,0,0,12.956521739130435,2022541.0
1372045,1555113600,1,0,0,12.617391304347825,1950138.0
1179751,1555200000,1,0,0,12.22608695652174,1372045.0
1668523,1555286400,0,0,0,11.052173913043475,1179751.0
1724042,1555372800,0,0,0,12.039130434782608,1668523.0
1668567,1555459200,0,0,0,12.369565217391305,1724042.0
1555656,1555545600,0,0,0,13.41304347826087,1668567.0
1280010,1555632000,0,1,0,15.386363636363637,1555656.0
1252574,1555718400,1,0,0,13.095652173913043,1280010.0
1216722,1555804800,1,0,0,13.054545454545456,1252574.0
1339961,1555891200,0,1,0,13.634782608695652,1216722.0
1934035,1555977600,0,0,0,14.721739130434784,1339961.0
1934863,1556064000,0,0,0,12.634782608695652,1934035.0
1842591,1556150400,0,0,0,12.204347826086956,1934863.0
1988793,1556236800,0,0,0,12.872727272727271,1842591.0
1495077,1556323200,1,0,0,13.117391304347825,1988793.0
1247520,1556409600,1,0,0,12.382608695652175,1495077.0
1973819,1556496000,0,0,0,13.808695652173911,1247520.0
2010547,1556582400,0,0,0,15.004347826086958,1973819.0
1385697,1556668800,0,1,0,15.130434782608695,2010547.0
1956527,1556755200,0,0,0,14.691304347826089,1385697.0
2052673,1556841600,0,0,0,9.57391304347826,1956527.0
1487725,1556928000,1,0,0,11.98695652173913,2052673.0
1276120,1557014400,1,0,0,12.308695652173911,1487725.0
2026288,1557100800,0,0,0,11.060869565217391,1276120.0
2068123,1557187200,0,0,0,12.26086956521739,2026288.0
1964473,1557273600,0,0,0,17.213636363636365,2068123.0
1946336,1557360000,0,0,0,15.6,1964473.0
2044120,1557446400,0,0,0,17.756521739130438,1946336.0
1548683,1557532800,1,0,0,15.956521739130435,2044120.0
1369931,1557619200,1,0,0,15.247826086956522,1548683.0
2073060,1557705600,0,0,0,14.173913043478262,1369931.0
2177741,1557792000,0,0,0,14.978260869565217,2073060.0
2117715,1557878400,0,0,0,14.295652173913044,2177741.0
2077293,1557964800,0,0,0,13.58695652173913,2117715.0
1983631,1558051200,0,0,0,11.847826086956522,2077293.0
1453765,1558137600,1,0,0,13.052173913043475,1983631.0
1267129,1558224000,1,0,0,11.873913043478264,1453765.0
1902383,1558310400,0,0,0,13.513636363636364,1267129.0
1990067,1558396800,0,0,0,14.934782608695652,1902383.0
2063749,1558483200,0,0,0,16.452380952380953,1990067.0
2100748,1558569600,0,0,0,17.545454545454547,2063749.0
2046971,1558656000,0,0,0,14.177272727272726,2100748.0
1483736,1558742400,1,0,0,16.678260869565218,2046971.0
1301444,1558828800,1,0,0,16.91304347826087,1483736.0
2029224,1558915200,0,0,0,17.071428571428573,1301444.0
2106909,1559001600,0,0,0,16.36818181818182,2029224.0
2091727,1559088000,0,0,0,15.947619047619046,2106909.0
2092238,1559174400,0,0,0,16.154545454545453,2091727.0
1990059,1559260800,0,0,0,17.99047619047619,2092238.0
1451714,1559347200,1,0,0,19.763636363636365,1990059.0
1307091,1559433600,1,0,0,19.763636363636365,1451714.0
2011267,1559520000,0,0,0,19.981818181818184,1307091.0
1971663,1559606400,0,0,0,19.481818181818184,2011267.0
2007176,1559692800,0,0,0,17.86818181818182,1971663.0
2018185,1559779200,0,0,0,15.763636363636364,2007176.0
2060641,1559865600,0,0,0,18.80454545454545,2018185.0
1427686,1559952000,1,0,0,17.645454545454545,2060641.0
1219406,1560038400,1,0,0,20.277272727272727,1427686.0
1541767,1560124800,0,1,0,19.75454545454545,1219406.0
1996468,1560211200,0,0,0,12.91904761904762,1541767.0
2038553,1560297600,0,0,0,14.245454545454544,1996468.0
2070348,1560384000,0,0,0,16.363636363636363,2038553.0
2080209,1560470400,0,0,0,20.045454545454547,2070348.0
1602220,1560556800,1,0,0,19.47391304347826,2080209.0
1435837,1560643200,1,0,0,19.172727272727272,1602220.0
2121433,1560729600,0,0,0,21.10869565217392,1435837.0
2143707,1560816000,0,0,0,21.256521739130434,2121433.0
2167610,1560902400,0,0,0,21.24,2143707.0
2187058,1560988800,0,0,0,22.10434782608696,2167610.0
2165131,1561075200,0,0,0,20.577272727272728,2187058.0
1555967,1561161600,1,0,0,21.545454545454547,2165131.0
1370515,1561248000,1,0,0,23.15,1555967.0
1412176,1561334400,0,1,0,23.209090909090907,1370515.0
2227176,1561420800,0,0,0,24.377272727272725,1412176.0
2309760,1561507200,0,0,0,26.5,2227176.0
2299851,1561593600,0,0,0,27.363636363636363,2309760.0
2439489,1561680000,0,0,0,29.286363636363635,2299851.0
1797473,1561766400,1,0,0,28.895454545454548,2439489.0
1567579,1561852800,1,0,0,26.685,1797473.0
2320414,1561939200,0,0,0,25.628,1567579.0
2393502,1562025600,0,0,0,25.1,2320414.0
2429884,1562112000,0,0,0,25.68,2393502.0
2399186,1562198400,0,0,0,25.18,2429884.0
2435057,1562284800,0,0,0,25.72,2399186.0
1663129,1562371200,1,0,0,26.668000000000003,2435057.0
1481364,1562457600,1,0,0,26.896,1663129.0
2310510,1562544000,0,0,0,24.112,1481364.0
2318150,1562630400,0,0,0,22.8625,2310510.0
2339137,1562716800,0,0,0,23.58,2318150.0
2402979,1562803200,0,0,0,25.14,2339137.0
2388176,1562889600,0,0,0,25.192,2402979.0
1629028,1562976000,1,0,0,25.344,2388176.0
1456869,1563062400,1,0,0,23.432,1629028.0
2275138,1563148800,0,0,0,23.364,1456869.0
2324218,1563235200,0,0,0,23.156,2275138.0
2342260,1563321600,0,0,0,22.968000000000004,2324218.0
2381723,1563408000,0,0,0,22.84,2342260.0
2368084,1563494400,0,0,0,23.16,2381723.0
1644833,1563580800,1,0,0,24.592,2368084.0
1535278,1563667200,1,0,0,25.156,1644833.0
2375370,1563753600,0,0,0,26.492,1535278.0
2395763,1563840000,0,0,0,27.064,2375370.0
2445338,1563926400,0,0,0,26.46,2395763.0
2396725,1564012800,0,0,0,25.836,2445338.0
2410053,1564099200,0,0,0,25.716,2396725.0
1608191,1564185600,1,0,0,21.296,2410053.0
1413486,1564272000,1,0,0,21.076,1608191.0
2233792,1564358400,0,0,0,22.776,1413486.0
2357756,1564444800,0,0,0,24.136,2233792.0
2261363,1564531200,0,0,0,22.828000000000003,2357756.0
