pernoctaciones,fecha
531000,2019-01-01
531000,2019-01-02
531000,2019-01-03
531000,2019-01-04
531000,2019-01-05
531000,2019-01-06
531000,2019-01-07
531000,2019-01-08
531000,2019-01-09
531000,2019-01-10
531000,2019-01-11
531000,2019-01-12
531000,2019-01-13
531000,2019-01-14
531000,2019-01-15
531000,2019-01-16
531000,2019-01-17
531000,2019-01-18
531000,2019-01-19
531000,2019-01-20
531000,2019-01-21
531000,2019-01-22
531000,2019-01-23
531000,2019-01-24
531000,2019-01-25
531000,2019-01-26
531000,2019-01-27
531000,2019-01-28
531000,2019-01-29
531000,2019-01-30
531000,2019-01-31
634000,2019-02-01
634000,2019-02-02
634000,2019-02-03
634000,2019-02-04
634000,2019-02-05
634000,2019-02-06
634000,2019-02-07
634000,2019-02-08
634000,2019-02-09
634000,2019-02-10
634000,2019-02-11
634000,2019-02-12
634000,2019-02-13
634000,2019-02-14
634000,2019-02-15
634000,2019-02-16
634000,2019-02-17
634000,2019-02-18
634000,2019-02-19
634000,2019-02-20
634000,2019-02-21
634000,2019-02-22
634000,2019-02-23
634000,2019-02-24
634000,2019-02-25
634000,2019-02-26
634000,2019-02-27
634000,2019-02-28
784000,2019-03-01
784000,2019-03-02
784000,2019-03-03
784000,2019-03-04
784000,2019-03-05
784000,2019-03-06
784000,2019-03-07
784000,2019-03-08
784000,2019-03-09
784000,2019-03-10
784000,2019-03-11
784000,2019-03-12
784000,2019-03-13
784000,2019-03-14
784000,2019-03-15
784000,2019-03-16
784000,2019-03-17
784000,2019-03-18
784000,2019-03-19
784000,2019-03-20
784000,2019-03-21
784000,2019-03-22
784000,2019-03-23
784000,2019-03-24
784000,2019-03-25
784000,2019-03-26
784000,2019-03-27
784000,2019-03-28
784000,2019-03-29
784000,2019-03-30
784000,2019-03-31
996000,2019-04-01
996000,2019-04-02
996000,2019-04-03
996000,2019-04-04
996000,2019-04-05
996000,2019-04-06
996000,2019-04-07
996000,2019-04-08
996000,2019-04-09
996000,2019-04-10
996000,2019-04-11
996000,2019-04-12
996000,2019-04-13
996000,2019-04-14
996000,2019-04-15
996000,2019-04-16
996000,2019-04-17
996000,2019-04-18
996000,2019-04-19
996000,2019-04-20
996000,2019-04-21
996000,2019-04-22
996000,2019-04-23
996000,2019-04-24
996000,2019-04-25
996000,2019-04-26
996000,2019-04-27
996000,2019-04-28
996000,2019-04-29
996000,2019-04-30
1014000,2019-05-01
1014000,2019-05-02
1014000,2019-05-03
1014000,2019-05-04
1014000,2019-05-05
1014000,2019-05-06
1014000,2019-05-07
1014000,2019-05-08
1014000,2019-05-09
1014000,2019-05-10
1014000,2019-05-11
1014000,2019-05-12
1014000,2019-05-13
1014000,2019-05-14
1014000,2019-05-15
1014000,2019-05-16
1014000,2019-05-17
1014000,2019-05-18
1014000,2019-05-19
1014000,2019-05-20
1014000,2019-05-21
1014000,2019-05-22
1014000,2019-05-23
1014000,2019-05-24
1014000,2019-05-25
1014000,2019-05-26
1014000,2019-05-27
1014000,2019-05-28
1014000,2019-05-29
1014000,2019-05-30
1014000,2019-05-31
1120000,2019-06-01
1120000,2019-06-02
1120000,2019-06-03
1120000,2019-06-04
1120000,2019-06-05
1120000,2019-06-06
1120000,2019-06-07
1120000,2019-06-08
1120000,2019-06-09
1120000,2019-06-10
1120000,2019-06-11
1120000,2019-06-12
1120000,2019-06-13
1120000,2019-06-14
1120000,2019-06-15
1120000,2019-06-16
1120000,2019-06-17
1120000,2019-06-18
1120000,2019-06-19
1120000,2019-06-20
1120000,2019-06-21
1120000,2019-06-22
1120000,2019-06-23
1120000,2019-06-24
1120000,2019-06-25
1120000,2019-06-26
1120000,2019-06-27
1120000,2019-06-28
1120000,2019-06-29
1120000,2019-06-30
1270000,2019-07-01
1270000,2019-07-02
1270000,2019-07-03
1270000,2019-07-04
1270000,2019-07-05
1270000,2019-07-06
1270000,2019-07-07
1270000,2019-07-08
1270000,2019-07-09
1270000,2019-07-10
1270000,2019-07-11
1270000,2019-07-12
1270000,2019-07-13
1270000,2019-07-14
1270000,2019-07-15
1270000,2019-07-16
1270000,2019-07-17
1270000,2019-07-18
1270000,2019-07-19
1270000,2019-07-20
1270000,2019-07-21
1270000,2019-07-22
1270000,2019-07-23
1270000,2019-07-24
1270000,2019-07-25
1270000,2019-07-26
1270000,2019-07-27
1270000,2019-07-28
1270000,2019-07-29
1270000,2019-07-30
1270000,2019-07-31
1267000,2019-08-01
1267000,2019-08-02
1267000,2019-08-03
1267000,2019-08-04
1267000,2019-08-05
1267000,2019-08-06
1267000,2019-08-07
1267000,2019-08-08
1267000,2019-08-09
1267000,2019-08-10
1267000,2019-08-11
1267000,2019-08-12
1267000,2019-08-13
1267000,2019-08-14
1267000,2019-08-15
1267000,2019-08-16
1267000,2019-08-17
1267000,2019-08-18
1267000,2019-08-19
1267000,2019-08-20
1267000,2019-08-21
1267000,2019-08-22
1267000,2019-08-23
1267000,2019-08-24
1267000,2019-08-25
1267000,2019-08-26
1267000,2019-08-27
1267000,2019-08-28
1267000,2019-08-29
1267000,2019-08-30
1267000,2019-08-31
1060000,2019-09-01
1060000,2019-09-02
1060000,2019-09-03
1060000,2019-09-04
1060000,2019-09-05
1060000,2019-09-06
1060000,2019-09-07
1060000,2019-09-08
1060000,2019-09-09
1060000,2019-09-10
1060000,2019-09-11
1060000,2019-09-12
1060000,2019-09-13
1060000,2019-09-14
1060000,2019-09-15
1060000,2019-09-16
1060000,2019-09-17
1060000,2019-09-18
1060000,2019-09-19
1060000,2019-09-20
1060000,2019-09-21
1060000,2019-09-22
1060000,2019-09-23
1060000,2019-09-24
1060000,2019-09-25
