fecha,tmed
2019-01-01,"11,4"
2019-01-02,"11,2"
2019-01-03,"9,2"
2019-01-04,"8,4"
2019-01-05,"11,4"
2019-01-06,"13,2"
2019-01-07,"10,8"
2019-01-08,"9,7"
2019-01-09,"11,3"
2019-01-10,"8,4"
2019-01-11,"6,8"
2019-01-12,"8,4"
2019-01-13,"10,8"
2019-01-14,"13,5"
2019-01-15,"10,6"
2019-01-16,"11,2"
2019-01-17,"11,8"
2019-01-18,"8,3"
2019-01-19,"8,9"
2019-01-20,"8,2"
2019-01-21,"8,6"
2019-01-22,"7,4"
2019-01-23,"8,8"
2019-01-24,"9,0"
2019-01-25,"8,8"
2019-01-26,"10,8"
2019-01-27,"11,6"
2019-01-28,"10,4"
2019-01-29,"7,9"
2019-01-30,"9,8"
2019-01-31,"12,8"
2019-02-01,"12,2"
2019-02-02,"10,2"
2019-02-03,"9,8"
2019-02-04,"9,2"
2019-02-05,"11,6"
2019-02-06,"11,5"
2019-02-07,"10,1"
2019-02-08,"11,6"
2019-02-09,"12,0"
2019-02-10,"13,8"
2019-02-11,"13,2"
2019-02-12,"11,2"
2019-02-13,"9,9"
2019-02-14,"9,1"
2019-02-15,"9,2"
2019-02-16,"9,4"
2019-02-17,"10,1"
2019-02-18,"10,6"
2019-02-19,"11,9"
2019-02-20,"12,2"
2019-02-21,"10,4"
2019-02-22,"14,9"
2019-02-23,"14,4"
2019-02-24,"12,2"
2019-02-25,"10,7"
2019-02-26,"13,2"
2019-02-27,"13,2"
2019-02-28,"13,8"
2019-03-01,"12,0"
2019-03-02,"14,0"
2019-03-03,"13,7"
2019-03-04,"16,8"
2019-03-05,"13,9"
2019-03-06,"13,6"
2019-03-07,"14,8"
2019-03-08,"12,3"
2019-03-09,"12,7"
2019-03-10,"15,2"
2019-03-11,"13,7"
2019-03-12,"13,7"
2019-03-13,"12,0"
2019-03-14,"12,6"
2019-03-15,"14,4"
2019-03-16,"13,5"
2019-03-17,"13,2"
2019-03-18,"12,6"
2019-03-19,"12,4"
2019-03-20,"11,7"
2019-03-21,"11,6"
2019-03-22,"13,4"
2019-03-23,
2019-03-24,"16,1"
2019-03-25,"16,6"
2019-03-26,"15,0"
2019-03-27,"11,6"
2019-03-28,"12,8"
2019-03-29,"12,5"
2019-03-30,"12,5"
2019-03-31,"12,2"
2019-04-01,"14,2"
2019-04-02,"14,0"
2019-04-03,"12,4"
2019-04-04,"10,7"
2019-04-05,"11,0"
2019-04-06,"12,5"
2019-04-07,"13,0"
2019-04-08,"12,6"
2019-04-09,"13,3"
2019-04-10,"13,9"
2019-04-11,"14,8"
2019-04-12,"14,8"
2019-04-13,"14,0"
2019-04-14,"12,6"
2019-04-15,"13,7"
2019-04-16,"14,1"
2019-04-17,"14,2"
2019-04-18,"14,4"
2019-04-19,"16,1"
2019-04-20,"15,8"
2019-04-21,"15,6"
2019-04-22,"15,4"
2019-04-23,"15,7"
2019-04-24,"14,6"
2019-04-25,"15,6"
2019-04-26,"17,0"
2019-04-27,"14,6"
2019-04-28,"14,1"
2019-04-29,"15,1"
2019-04-30,"15,7"
2019-05-01,"16,0"
2019-05-02,"15,9"
2019-05-03,"13,2"
2019-05-04,"14,2"
2019-05-05,"15,6"
2019-05-06,"13,3"
2019-05-07,"14,4"
2019-05-08,"17,8"
2019-05-09,"16,7"
2019-05-10,"17,6"
2019-05-11,"17,2"
2019-05-12,"16,7"
2019-05-13,"15,3"
2019-05-14,"15,9"
2019-05-15,"15,4"
2019-05-16,"14,5"
2019-05-17,"13,8"
2019-05-18,"15,1"
2019-05-19,"14,0"
2019-05-20,"15,4"
2019-05-21,"15,6"
2019-05-22,"16,8"
2019-05-23,"17,2"
2019-05-24,"15,3"
2019-05-25,"18,6"
2019-05-26,"19,4"
2019-05-27,
2019-05-28,"18,0"
2019-05-29,"17,1"
2019-05-30,"17,0"
2019-05-31,"18,5"
2019-06-01,"20,8"
2019-06-02,"20,0"
2019-06-03,"21,0"
2019-06-04,"19,6"
2019-06-05,"20,4"
2019-06-06,"18,2"
2019-06-07,"21,9"
2019-06-08,"19,0"
2019-06-09,"22,2"
2019-06-10,"21,8"
2019-06-11,"15,8"
2019-06-12,"15,5"
